7zip 26.01-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alembic 1.8.11-2
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-tools 1.2.15-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
aml 0.3.0-2
android-tools 35.0.2-25
android-udev 20260423-1
aom 3.14.1-1
apparmor 4.1.7-1
appstream 1.1.2-1
appstream-glib 0.8.3-4
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.12.0-1
archlinux-keyring 20260420-1
argon2 20190702-6
at-spi2-core 2.60.4-1
atkmm 2.28.5-1
attica 6.26.0-1
attr 2.5.2-2
atuin 18.16.1-1
aubio 0.4.9-24
audacity 1:3.7.7-2
audit 4.1.4-2
autoconf 2.73-1
autoconf-archive 1:2024.10.16-4
automake 1.18.1-1
avahi 1:0.9rc4-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bazel 9.1.0-1
bcg729 1.1.1-2
bearssl 0.6-6
binutils 2.46+r70+g155188ea10a7-1
blas 3.12.1-2
blender 17:5.1.2-1
blosc 1.21.6-2
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
boost 1.91.0-1
boost-libs 1.91.0-1
breeze-icons 6.26.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-1
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.11.2-1
bun 1.3.14-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
capstone 5.0.7-2
cargo-audit 0.22.1-3
catch2 3.15.0-1
cava 0.10.7-1
cbindgen 0.29.3-1
cblas 3.12.1-2
cccl 3.3.3-3
cdparanoia 10.2-9
cef 148.0.8-1
ceres-solver 2.2.0-5
cfitsio 1:4.6.4-1
chromaprint 1.6.0-3
chromium 148.0.7778.178-3
chrpath 0.18-1
clang 22.1.6-1
clang21 21.1.8-1
clazy 1.17.1-1
cli11 2.6.2-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmake 4.3.3-1
compiler-rt 22.1.6-1
compiler-rt21 21.1.8-1
composefs 1.0.8-1
